visa_type,occupation_category,wage_scaled,worksite_state,processing_center,month,day_of_week,processing_days
0,292,0.024857948234933386,4,3,12,4,6
0,305,-2.481401030662136,23,2,4,1,6
0,155,0.0355322994616144,4,3,3,4,6
0,85,0.15722674597861558,4,3,1,4,6
0,168,1.2403312688448576,4,3,8,4,6
0,104,-2.481760263636111,10,2,4,0,4
0,26,-0.19290565932219692,36,1,8,0,4
0,292,-0.3160028250709094,36,1,8,1,1
0,450,-0.39144174960562617,4,3,5,0,15
0,202,-0.556517854313113,4,3,5,1,6
0,119,1.4587791296857495,4,3,10,1,7
0,294,0.17074074833290723,36,1,12,4,6
0,222,-0.2156570810072702,4,3,2,4,6
0,309,-1.507253579435673,36,1,10,0,4
0,104,-0.027076876002572314,36,1,3,3,5
0,239,-0.23560306422892097,4,3,7,2,6
0,17,-2.4816473618442902,47,3,7,3,6
0,251,1.1677319954377516,33,1,6,2,6
0,436,1.3285657297859164,36,1,2,4,6
0,202,-0.23344766638507192,36,1,3,3,6
0,72,0.7421948782664104,4,3,11,0,4
0,251,2.2835438252677984,46,0,4,1,6
0,137,-1.3172706551992637,4,3,3,2,6
0,490,-2.4816689158227287,4,3,7,0,4
0,168,-0.4561378975852857,51,3,12,3,7
0,297,0.3714322364601855,43,2,1,3,6
0,252,-0.4191882202621592,20,1,4,2,6
0,440,2.4555993134696537,4,3,2,2,16
0,202,-0.10891356874046008,36,1,8,3,6
0,233,-0.7137934715857175,9,2,4,3,6
0,247,-0.3992764497046965,36,1,4,4,6
0,311,-0.27898472241940664,46,0,11,2,6
0,391,0.5955936122204868,36,1,7,4,6
0,314,0.6617609047602339,20,1,9,3,6
0,294,1.254563737147099,36,1,3,5,5
0,250,0.08305369001885776,51,3,6,0,5
0,294,2.6357974157482715,36,1,8,2,6
0,333,-0.3665349300767038,16,2,2,2,6
0,309,-0.828371683951598,36,1,9,3,6
0,24,-0.5686291374356933,36,1,8,3,7
0,292,0.2540143729666944,15,2,12,4,6
0,168,-2.4819456962760102,9,2,9,1,6
0,177,-2.481741788797449,39,3,5,0,4
0,284,0.9499683878806212,52,2,3,3,6
0,202,0.7727810000505541,36,1,4,0,4
0,436,-0.08044863213597739,36,1,3,2,6
0,133,-0.09752075156582939,45,2,4,3,6
0,202,-0.23344766638507192,36,1,11,4,6
0,345,0.4546716484297846,33,1,4,2,6
0,292,0.22767062154187265,36,1,5,2,6
0,104,1.2872710441109037,15,2,7,0,3
0,388,-0.5112202869280948,4,3,6,3,4
0,8,1.8850347128050404,4,3,11,4,7
0,284,0.6201925177717165,7,1,2,1,3
0,436,0.45539011437773425,23,2,12,0,4
0,436,2.3810499182038267,4,3,8,3,6
0,222,-0.6020891230116358,4,3,1,1,2
0,410,0.777057583074064,36,1,10,3,1
0,245,3.159559091803591,4,3,9,2,6
0,292,0.24334002174001337,36,1,9,2,6
0,32,-2.4816494146041412,36,1,12,2,6
0,316,-0.7095168885622075,4,3,6,0,4
0,440,3.2720161189898107,4,3,8,2,6
0,436,2.3810499182038267,4,3,9,1,6
0,378,-2.482109232810829,5,3,3,5,3
0,262,0.3422488339077531,36,1,12,4,6
0,292,-2.4821283919027746,36,1,6,4,6
0,271,1.7441469616785263,36,1,4,4,6
0,8,0.30098836089692843,36,1,6,2,7
0,172,0.4475554142786639,4,3,4,1,6
0,309,-0.25907295186194396,9,2,5,2,6
0,292,-0.32879836147725133,36,1,9,3,6
0,222,-0.4718415104476146,39,3,2,4,6
0,104,0.7777760490220137,23,2,11,4,7
0,284,-0.09683649828206778,8,2,1,3,1
0,155,-1.1720721083850514,20,1,5,2,6
0,292,-0.32879836147725133,36,1,5,2,2
0,294,-0.7102353545101572,18,2,12,2,7
0,94,1.7697722471553983,46,0,5,0,4
